Unnamed: 0,category,title,split
79193,Business,lockheed to take charge on court decision,train
40298,Business,"as for the competing iras , the roth wins hands down",train
99083,Business,ibm exec may become computer associates ceo,train
44498,Business,lenovo said to buy ibms pc business,train
103304,Business,"analysis fiat unlikely to hit the gm put button , for now",train
79100,Business,oracle sees future in . bn peoplesoft,train
47869,Business,atlantic city casinos and patrons cope on nd day of strike,train
105366,Business,gold fields iamgold bid cut by million,train
117872,Business,web access in sky set to take off,train
43547,Business,capital and gwr tie the knot,train
110404,Business,nortel to release delayed financial results,train
112101,Business,ibm s cash balance move could start trend,train
78970,Business,gazprom sets up new daughter company gazpromneft,train
50863,Business,peoplesoft s courtroom confession,train
47988,Business, things you must know to be successful,train
93426,Business,update vivendi raises forecast after strong quarter,train
74332,Business,warner chilcott backs . bn takeover,train
94910,Business,local shoppers see the logic of kmart sears deal,train
112393,Business,"yahoo searches desktops , too",train
62560,Business,netflix stock drops percent,train
70174,Business,"as china tries to avoid a hard landing , it s difficult to get lt b gt . . . lt b gt ",train
81246,Business,update cvs reports lower profits on acquisition,train
70083,Business,sec wants navistar pension info,train
110789,Business,giving a little bit back,train
61141,Business,fidelity investments cuts brokerage fees,train
45909,Business,dow knocked lower by merck s drug recall,train
37914,Business,halliburton making cuts at struggling kbr,train
86856,Business,trade gap narrows on record exports,train
3719,Business,eu backs lamy for trade position,train
33647,Business,maxim pharmaceuticals cancer drug disappoints in trials,train
58978,Business,russia ready to sell major yukos field,train
78811,Business,nikkei weakens ahead of poll,train
89750,Business,"analysis when fed says jump , investors ask how high ? ",train
10465,Business,storm may have been a tornado,train
50508,Business,marks amp spencer buys per una brand,train
21308,Business,athabasca railway link cost estimated at . b,train
34757,Business,fortis names votron to succeed van rossum as chief update ,train
109762,Business,"good disguise , eh ? ",train
51304,Business,oil teases a barrel as hurricanes hit output,train
15816,Business,japan megabank turns deaf ear,train
106596,Business,"deutsche bank to axe , jobs",train
84299,Business,eight ebay sellers admit phony bids,train
87511,Business,suntrust fires executives over miscalculations,train
32884,Business,microsoft shares more source code,train
37947,Business,philips warns on chip unit sales,train
95134,Business,is multimedia games a buy ? ,train
91062,Business,lowe s income up,train
38392,Business,fed poised to raise rates third time in ,train
48427,Business,next hit double digit insurance hikes,train
98967,Business,food stocks mixed on campbell report,train
88782,Business,intel chief barrett laments timing sucks for his departure,train
3586,Business,army wants halliburton data on possible effect of withholding,train
93435,Business,snow cutting budget deficit top priority,train
34367,Business,fund group to pay m fine,train
90883,Business,toyota prius voted european car of year,train
29618,Business,stocks seen flat as nortel and oil weigh,train
97444,Business,san francisco hotel workers to return to work after lockout,train
61518,Business,aer lingus redundancy deadline this evening,train
25327,Business,flight attendants reject us air proposal reuters ,train
73120,Business,"dupont posts profit , sees slower growth",train
15229,Business,circuit city to stop selling t mobile,train
103799,Business,the best toys don t come in a big box,train
5468,Business,u . s . begins criminal probe on riggs paper,train
20552,Business,stocks to watch tuesday,train
115463,Business,transport costs fuel uk inflation,train
100449,Business,update ge unit to buy ionics for . billion,train
90814,Business,"perrigo to buy agis , a maker of generic prescription drugs",train
92089,Business,van faasen tops in pay baker sees big leap,train
27839,Business,nikkei eases by midday techs wilt,train
105125,Business,s . arabia oil prices will drop ,train
118557,Business,symantec to buy veritas for . billion,train
62970,Business,tokyo stocks seen moving little,train
105151,Business,"european shares drop , weighed by compass",train
38781,Business,a fixer upper,train
114522,Business,jaguar workers reject strike action,train
49784,Business,"us airways to cut management pay , benefit",train
10057,Business,bae wins anti missile contract,train
44580,Business,imf approves million loan for iraq,train
102527,Business,shoppers swarm stores across us,train
11052,Business,american to test onboard food sales,train
100656,Business,"ryanair , easyjet expand flights to italy after volare bankruptcy",train
15904,Business,microsoft takes on itunes,train
108381,Business,moody s may raise ratings on aes corp . ,train
57889,Business,infosys cashes in on outsourcing,train
30497,Business,microsoft to pay californian briefs million,train
23110,Business,update alcoa warns eps to miss forecasts shares drop,train
86551,Business,gamers get a crack at halo long awaited sequel debuts,train
96411,Business,russia set to auction off oil giant to recoup unpaid taxes,train
50978,Business,"yum profit up , raises view reuters ",train
73591,Business,"stocks jump insurers , home builders help",train
92277,Business,hollinger inc to file accounts soon,train
14193,Business,"santander aims to complete abbey purchase by november , ft says",train
74101,Business,circuit city customer files bias complaint,train
60310,Business,coventry health to buy first health,train
88053,Business,coke s isdell we have underperformed since ,train
95568,Business,garamendi settles with san diego broker in exchange for lt b gt . . . lt b gt ,train
90154,Business,"eurostar turns , still sees red",train
89328,Business,more samples from la . and miss . being tested for soybean rust,train
118928,Business,"stocks set for flat start , data awaited",train
95102,Business,intel chief sees better global performance,train
86137,Business,gemstar tv guide intl q financial table gt gmst,train
51720,Business,flu vaccine distributor cuts views,train
8427,Business,santander says referral no cause to drop abbey bid,train
9507,Business,shell faces . bn nigeria bill ,train
116930,Business,mixed ruling in rim patent suit could affect entire wireless e lt b gt . . . lt b gt ,train
58253,Business,chinese party leaders call for monetary stability,train
10930,Business,work begins on us missile defense for commercial airliners,train
52983,Business,wal mart same store sales up . percent,train
76001,Business,"king pharmaceuticals profits drop , may restate returns",train
43788,Business,conoco forges alliance with lukoil,train
89124,Business,jones apparel does barney s mean trouble ? ,train
60026,Business,rheumatoid arthritis drug market heats up,train
106877,Business,savings in bankruptcy at issue at court,train
107045,Business,dollar down on intervention doubt,train
60214,Business,"gm europe to slash , jobs by ap ",train
38591,Business,stocks up on durable goods news,train
78797,Business,crude oil rises after nigerian unions call strike to cut supply,train
116196,Business,fed raises benchmark a th time,train
107730,Business,british insurers in turmoil over incentive fees,train
102934,Business,tax free bonuses tagged out,train
59933,Business,soaring crude oil prices send stocks lower,train
24065,Business,peoplesoft fracas could spark software m amp a,train
102568,Business,fed need not move on inflation wiggles,train
106022,Business,gm to lay off in new jersey,train
71738,Business,citigroup gets record fine for fund sales,train
104161,Business,airbus enroute to challenge boeing s e ,val
98853,Business,dollar continues slide vs euro,val
6278,Business,lawsuits hold good news for investors,val
85676,Business,microsoft settles disputes,val
85925,Business,liberty makes nice with news corp . ,val
39775,Business,fund s performance carries a high cost,val
96525,Business,is disney a growth stock ? ,val
119862,Business,fcc may allow cell phone use on airplanes,val
7193,Business,"after shakeout , medical websites find new health",val
36574,Business,"asia growth to hit , bank says",val
21908,Business,update mylan says committed to king deal despite icahn,val
88987,Business,nation likely to be rd largest trading power,val
103231,Business,tree traditions,val
85718,Business,abercrombie fitch posts fall in profit,val
85497,Business,brown seeks out global challenge,val
27887,Business,oracle won t predict peoplesoft acquisition,val
91292,Business,kraft foods confirms plans to sell sugar candy biz,val
81367,Business,update air berlin to buy up to airbus jets,val
59666,Business,peoplesoft exec we pumped up earnings,val
106397,Business,ibm scores b in danish contracts,val
63287,Business,cost of nz mobile calls too high,val
4552,Business,daiei shares soar as wal mart confirms interest in ailing retailer,val
77111,Business,us economy grows . percent in third quarter afp ,val
63233,Business,harmony seeks to buy gold fields in . billion deal,val
60430,Business,shell eastern trading signs gas supply deal with russias lt b gt . . . lt b gt ,val
112737,Business,"dodge durango , dakota trucks recalled",val
793,Business,europe and us in aircraft aid row,val
110363,Business,"treasuries up , indirect bidders buy big",val
46034,Business,gm cereals to go whole grain,val
76181,Business,cnnfn network to close by mid december,val
84564,Business,mcdonald s same store sales rise . pct . ,val
84728,Business,european bank chief talks up dollar,val
91956,Business,"iraq gained billion illicitly , senate panel says",val
111217,Business,"costco profits rise , but stock falls in early trading",val
104466,Business,five former natural gas traders charged,val
76811,Business,ovitz defends his tenure at disney,val
59348,Business,edison int l raises earnings forecast,val
66430,Business,"update cott profit falls , outlook cut , stock plunges",test
49403,Business,jarvis warns on refinancing deal,test
38124,Business,cadbury says annual results to be at low end of range update ,test
109223,Business,ex vivendi boss is fined million euros,test
117744,Business,abn amro leads european shares higher,test
52503,Business,can howard stern take sirius into orbit ? ,test
114661,Business,eurostocks close higher,test
93865,Business,update founders of pbhg funds settle market timing case,test
24460,Business,oracle court win could prompt more deals,test
27883,Business,hurricane pushes u . s . oil toward ,test
117547,Business,j j says to buy guidant for . billion,test
90772,Business,dow jones to buy marketwatch for million,test
50008,Business,wal mart unveils expansion plans,test
3158,Business,medtronic quarterly net up reuters ,test
98983,Business,brown forman buying rest of finlandia,test
5483,Business,oil prices inch back down,test
89016,Business,consumers more upbeat in early november,test
22474,Business,rising oil prices fuel german inflation afp ,test
4948,Business,report fda to relabel antidepressants,test
111606,Business,harley boss to retire,test
26676,Business,hiring seen improving a bit,test
40314,Business,"tokyo stocks open lower on oil , economy reuters ",test
16953,Business,united ready to cut more jobs,test
109499,Business,j amp j in guidant merger talks,test
43841,Business,global economy set for best growth in years imf afp ,test
90158,Business,information may end up used against retailer,test
68660,Business,"nasdaq ends up , dow slips",test
104165,Business,essbase x brings interactive bi to bpm,test
91878,Business,some tax refunds still owed,test
48638,Business,zients finds sweet spot,test
21051,Business,"us air shares sink , pilots reject deal",test
117625,Business,bush vows to cut deficit ,test
118178,Business,bush says social security is a top priority,test
95240,Business,calpers says tendered its peoplesoft shares,test
12218,Business,jaguar puts brake on production,test
38597,Business,update oil prices climb despite gov t statement,test
11461,Business,"sph , mediacorp lay off over ",test
68701,Business,"nextel s profit rises , ups outlook",test
117027,Sci/Tech,nice day for a wireless wedding washingtonpost . com ,train
92879,Sci/Tech,virgin sandwich back on auction,train
31218,Sci/Tech,commentary peoplesoft ease the inevitable businessweek online ,train
22742,Sci/Tech,"delete records , or profile the whole uk , says dna print pioneer",train
62369,Sci/Tech,churches installing cell phone jammers ap ,train
12647,Sci/Tech,hp ipod clone out today,train
94838,Sci/Tech,"unlike apes , humans were born to run , study says",train
119097,Sci/Tech,the right tools for research,train
20593,Sci/Tech,msn music service is an average entry in the online stakes,train
92958,Sci/Tech,peoplesoft introduces support by subscription,train
87717,Sci/Tech,milestone for land of the lemur ,train
98903,Sci/Tech,mobile firms hope consumers will turn on to tv reuters ,train
106579,Sci/Tech,google s china filtering draws fire,train
92187,Sci/Tech,dell debuts denser blade server,train
115059,Sci/Tech,microsoft raises stakes in search war,train
50384,Sci/Tech,"palmone , microsoft set e mail software pact",train
108414,Sci/Tech,its sno napster,train
12213,Sci/Tech,novelty mice chase after kids,train
59812,Sci/Tech,dinosaur that slept like a bird,train
78025,Sci/Tech,times of london goes tabloid after years,train
102244,Sci/Tech,news phishers tapping botnets to automate attacks,train
43890,Sci/Tech,apple plans eu expansion of itunes next month,train
52134,Sci/Tech,ibm focuses on a better websphere app server,train
25539,Sci/Tech,borland updates its life cycle tools,train
87939,Sci/Tech,intel board appoints otellini as ceo,train
69666,Sci/Tech,livewire futures markets allow president race wagers reuters ,train
48936,Sci/Tech,"fill er up , with microbes",train
59325,Sci/Tech,you need a robolawyer,train
104720,Sci/Tech,"kazaa created for lawful purposes , court told",train
23159,Sci/Tech,canon creates new industry category with first copier based color lt b gt . . . lt b gt ,train
52548,Sci/Tech,small firms vie for slice of security pie,train
100503,Sci/Tech,citrix buys hybrid vpn vendor,train
16545,Sci/Tech,study half of u . s . hotel rooms have broadband,train
36774,Sci/Tech,ipod promoters feel the heat,train
49364,Sci/Tech,nokia set to unveil redesigned tv phone source,train
33690,Sci/Tech,gartner points out the security you don t need,train
78,Sci/Tech," madden , espn football score in different ways reuters ",train
69177,Sci/Tech,"bad times boost efforts to align it , business goals",train
96083,Sci/Tech,spammed inbox for bill gates,train
41276,Sci/Tech,can skype remain more than free phone hype ? ,train
81956,Sci/Tech,memphis has no days of high air pollution ap ,train
9214,Sci/Tech,new realplayer software manages media from different stores lt b gt . . . lt b gt ,train
114984,Sci/Tech,computer scouring software rivals google tool,train
43195,Sci/Tech,ferrari outsources f engine design work ap ,train
42402,Sci/Tech,cisco notches new net phone deal,train
68529,Sci/Tech,medimmune quarterly earnings fall again,train
16326,Sci/Tech,paris says bonjour to new imac,train
25491,Sci/Tech,ibm rolls out new linux server using power chip reuters ,train
88928,Sci/Tech,wi fi superchip threatens bluetooth,train
1995,Sci/Tech,google interview is draw for latest playboy issue reuters ,train
113201,Sci/Tech,a visit to the museum of underappreciated games,train
42348,Sci/Tech,amendment puts energy bills at risk,train
2845,Sci/Tech,experts push for more computer security efforts,train
42930,Sci/Tech,turner to provide content for net tv company,train
91306,Sci/Tech,dell ponders using amd processors,train
77635,Sci/Tech,"dell expands consumer services to spyware , peripherals",train
57105,Sci/Tech,ftc sues alleged spyware distributors pc world ,train
94,Sci/Tech,"t . rex had teen growth spurt , scientists say reuters ",train
96808,Sci/Tech,skulls trojan infects symbian phones,train
31786,Sci/Tech,yahoo to launch its own music player,train
60711,Sci/Tech,"dell displays new tvs , music players",train
92512,Sci/Tech,dell jumps back into blade server market,train
51464,Sci/Tech, membres pour la blu ray disc association,train
17898,Sci/Tech,microsoft warns on spyware s impact,train
16523,Sci/Tech,ebay to acquire south korean auction firm,train
1892,Sci/Tech,new wi fi spec pushes for mbps,train
82254,Sci/Tech,wisconsin ruling could set m precedent on modified apps,train
40902,Sci/Tech,soldiers war blogs detail life in iraq,train
71525,Sci/Tech,president signs american jobs creation act,train
54244,Sci/Tech,visionaries outline web s future,train
94906,Sci/Tech,remote control rifle range debuts,train
36071,Sci/Tech,sun offers pay for use grid computing newsfactor ,train
14357,Sci/Tech,video games find their political voice,train
40519,Sci/Tech,"itanium unsuitable for workstations , intel says",train
89282,Sci/Tech,aol sets sail into travel search market,train
114937,Sci/Tech,earnings reports hint at ip networking growth,train
46582,Sci/Tech,huge and proud of it,train
107639,Sci/Tech,two young stars scuffle,train
11804,Sci/Tech,everything you need to know about microsoft s os update,train
44310,Sci/Tech,"what s in the box ? radio tags know that , and more",train
40753,Sci/Tech,"prove open source cred , release java , red hat tells sun",train
51099,Sci/Tech,gop gets house to nix draft bill ap ,train
37516,Sci/Tech,new sony players modified to play mp s,train
94777,Sci/Tech,nm governor wants uc regents to continue running los alamos,train
103018,Sci/Tech,another brick in the firewall washingtonpost . com ,train
57292,Sci/Tech,big blue beefs up bladecenter,train
54530,Sci/Tech,dracula s descendant sets lt cite gt reg lt cite gt straight,train
82272,Sci/Tech,microsoft to help users prep for patching,train
51155,Sci/Tech,the spirit of st . louis in outer space,train
74174,Sci/Tech,lunar eclipse due tonight,train
105460,Sci/Tech,emulex debuts gbps fibre channel silicon,train
98929,Sci/Tech,gateway takes emachines to mexico,train
59999,Sci/Tech,study finds technology could support mountain monorail,train
106302,Sci/Tech,more robot grunts ready for duty,train
111597,Sci/Tech,novell to support netline s open xchange server,train
115441,Sci/Tech,grid researchers go commerical,train
69731,Sci/Tech,yahoo ! acquires e mail start up,train
65912,Sci/Tech,sprint beats forecasts on strength of wireless usatoday . com ,train
69523,Sci/Tech,big leagues,train
36929,Sci/Tech,peoplesoft says rd qtr license revenue tops oracle s update ,train
71105,Sci/Tech,ballmer microsoft software too expensive,train
81351,Sci/Tech,mystery behind the origin of cosmic rays unraveled ,train
15006,Sci/Tech,britain seeking support to stop stem cell ban,train
29786,Sci/Tech,mobiles take off,train
138,Sci/Tech,scientists seek better way to measure rain ap ,train
61278,Sci/Tech,intel not to make gigahertz version of pentium pc processor,train
84430,Sci/Tech,mozilla firefox the searcher s browser,train
21560,Sci/Tech,intel demonstrates new chips,train
76210,Sci/Tech,liquid suggested on titan,train
5577,Sci/Tech,amd adds power saving at the high end,train
50397,Sci/Tech,casio combines lcd and fingerprint sensor,train
118650,Sci/Tech,ibm steps up grid partner plan,train
26112,Sci/Tech,trademark vs . search do you soo . . . gle ? ,train
43693,Sci/Tech,cabinet members promote healthier eating habits,train
10611,Sci/Tech,sri lanka internet disruption said not caused by i,train
14808,Sci/Tech,verizon wins injunction against text spammer,train
100431,Sci/Tech,game should be pulled,train
82163,Sci/Tech,seamen sail into biometric future,train
36794,Sci/Tech,voiceglo offers im interoperability,train
34207,Sci/Tech,nextel wants better fcc deal,train
90472,Sci/Tech,teach what science is that would help evolution disputes subside,train
78194,Sci/Tech,strange world of island species,train
79177,Sci/Tech,why a browser makes sense for google ? ,train
38707,Sci/Tech,hp discontinues its itanium workstations,train
100627,Sci/Tech,airlines cough up passenger data,train
102053,Sci/Tech, eicu lets doctors monitor many patients ap ,train
97143,Sci/Tech,chernobyl caused sweden cancers ,train
42742,Sci/Tech,intel launches next gen chip,train
82957,Sci/Tech,nasa cassini significant events for ,train
31016,Sci/Tech,broadband starts to rival dial up,train
73626,Sci/Tech,apple s u box set a sign of shifting music pricing ? ,train
7353,Sci/Tech,google not the first to go dutch,train
58478,Sci/Tech,one of world s largest rubies on display ap ,train
35243,Sci/Tech,rover missions renewed as mars emerges from behind sun,train
70943,Sci/Tech,duke u s journalistic antisemitism uproar,train
91604,Sci/Tech,yahoo ! nipping at google s heels on email,train
38502,Sci/Tech,scanner tool released to thwart jpeg attack,train
22913,Sci/Tech,nasa securing space center for ivan ap ,train
48309,Sci/Tech,ibm says blue gene breaks speed record,train
114638,Sci/Tech,sony psp debuts to strong sales,train
1197,Sci/Tech,auction for shares in google s ipo may end today washingtonpost . com ,train
52030,Sci/Tech,"winter weather outlook mixed , el nino looms reuters ",train
66142,Sci/Tech,steroid raises pneumonia risk in ra patients,train
6946,Sci/Tech,toyota s prius proving to be the hotter hybrid,train
90818,Sci/Tech,"immune system could play role in male contraception , researchers lt b gt . . . lt b gt ",train
62277,Sci/Tech,nasa celebrates life of astronaut gordon cooper,train
75099,Sci/Tech,preminet nokias mobile content move,train
113623,Sci/Tech,livewire news and info junkies take new look at rss reuters ,train
59910,Sci/Tech,apple reports fourth quarter results,train
48961,Sci/Tech,mini lab offers on the spot tests,train
42346,Sci/Tech,boffins boost dvd capacity tenfold,train
114459,Sci/Tech,"ibm , amd develop new use of strained silicon",train
83371,Sci/Tech,whooping cranes migration interrupted,train
112204,Sci/Tech,spam e mails tempt net shoppers,train
36108,Sci/Tech,ietf shuts marid down,train
64030,Sci/Tech,"rim sees strong european , asian blackberry growth",train
30660,Sci/Tech,alcatel bolsters u . s . presence reuters ,train
17248,Sci/Tech,winzip warns of security flaws,train
71382,Sci/Tech,yahoo acquires e mail search firm,train
82719,Sci/Tech,admins applaud microsoft s early warning program,train
1367,Sci/Tech,free speech for online gambling ads sought,train
99216,Sci/Tech,report fast internet use doubles in u . s . ,train
84648,Sci/Tech,british telecom to buy infonet,train
8626,Sci/Tech,worm turns on webcams,train
3997,Sci/Tech,"apple to recall , laptop batteries reuters ",train
8015,Sci/Tech,group unveils genetically engineered mice ap ,val
50379,Sci/Tech,mount st . helens spews more steam and ash reuters ,val
73479,Sci/Tech,"apple rolls out ipod photo , rocks with u ",val
101495,Sci/Tech,"sbc , yahoo , wire , and dish network partner for multimedia entertainment monster",val
43948,Sci/Tech,mp creator warns tech impasse dooming downloads,val
82298,Sci/Tech,importance of keywords in urls and search engine ranking,val
116050,Sci/Tech,check out the world s leading libraries on google,val
117836,Sci/Tech,p p battle reaches ftc,val
9542,Sci/Tech,draining brain toxins may slow alzheimer s,val
52972,Sci/Tech,electronic nose,val
22692,Sci/Tech,pair of linux holes put users at risk ziff davis ,val
46290,Sci/Tech,microsoft fat patent claim quot bogus quot ,val
110474,Sci/Tech,apple web hole still open,val
58776,Sci/Tech,dell hears consumer electronics call,val
81819,Sci/Tech,spammer in the slammer,val
104080,Sci/Tech,shopping search week ! ,val
94337,Sci/Tech,nasa calls off launch of black hole hunter ap ,val
114461,Sci/Tech,congress fails to act on copyright bills,val
84006,Sci/Tech,next space race under way,val
84932,Sci/Tech,ibm previews new supercomputing server,val
65086,Sci/Tech,earnings alert emc issues sunny report,val
39218,Sci/Tech,verisign touts childrens online identity token reuters ,val
23986,Sci/Tech,melinda gates joins washington post board,val
76445,Sci/Tech,best buy enters online photo processing fray reuters ,val
11264,Sci/Tech,microsoft releases sp update for all windows xp users,val
91521,Sci/Tech,dell s server safari,val
52886,Sci/Tech,hot wheels hit the road,val
22618,Sci/Tech,"delete records , or profile the whole uk , says dna print pioneer",val
101819,Sci/Tech,our opinion fortuitous flood,val
76646,Sci/Tech,transatlantic sting nabs identity theft suspects,val
114015,Sci/Tech,uc researchers discover deep tremors under san andreas fault,val
50446,Sci/Tech,"casio combines lcd , fingerprint sensor",val
99208,Sci/Tech,god or science ? ,val
104453,Sci/Tech,"cicadas , an elixir for the earth",val
86198,Sci/Tech,aviation key in climate change battle uk report reuters ,val
21564,Sci/Tech,smart phone market growing more crowded,test
84760,Sci/Tech,australian imprisoned for online scam ap ,test
34357,Sci/Tech,"firefox users ignore online ads , report says",test
33464,Sci/Tech,computerworld data points crm,test
59601,Sci/Tech,adobe releases hobbyist photoshop package,test
113001,Sci/Tech,thomson to introduce hd dvd players in ,test
21869,Sci/Tech,should star trek die ? ,test
102920,Sci/Tech,minor earthquake at mount st . helens,test
11962,Sci/Tech,lycos europe spam screensaver offline,test
115932,Sci/Tech,hollywood to sue p p servers,test
24573,Sci/Tech,pluggedin new car gadgets may distract drivers reuters ,test
36961,Sci/Tech,amd still mulling plans for a joint venture chip plant,test
97926,Sci/Tech, scramjet hits almost mach ,test
2211,Sci/Tech,intel backtracks on offering chips for projection tvs now,test
75482,Sci/Tech,umc posts surge in earnings,test
5696,Sci/Tech,ie flaw affects windows xp sp systems,test
79731,Sci/Tech,shuttle enterprise takes center stage,test
31311,Sci/Tech,probably best to install windows update,test
10532,Sci/Tech,"vodafone , nokia team up for simpler mobile software reuters ",test
55626,Sci/Tech,file swappers face new antipiracy push,test
102205,Sci/Tech,internet explorer gets finnish thumbs down,test
30054,Sci/Tech,aol backs away from microsoft antispam plan maccentral ,test
119356,Sci/Tech,microsoft moves on spyware to stymie firefox,test
47017,Sci/Tech,riaa files new file trading lawsuits,test
60455,Sci/Tech,"a new , innovative way to fight crime",test
100088,Sci/Tech,philadelphia faces wi fi woes,test
106997,Sci/Tech,ce players unveil broadband on a chip,test
81655,Sci/Tech,linux cluster companies attract new funds,test
76405,Sci/Tech,police arrest in online id theft scams washingtonpost . com ,test
85523,Sci/Tech,"long after kinsey , only the brave study sex",test
15659,Sci/Tech,"raw , unprocessed food trend catching on in u . s . ",test
45171,Sci/Tech,munich migrates to linux despite eu debate infoworld ,test
2639,Sci/Tech,cassini huygens discovers two new saturnian moons,test
112929,Sci/Tech,huge boeing rocket prepared for liftoff today,test
898,Sci/Tech,news new hypoxic event found off oregon coast,test
11648,Sci/Tech, brainwave cap controls computer,test
96254,Sci/Tech,babelplex multilingual search engine the c po of search,test
1778,Sports,edwards banned from games,train
22628,Sports,hughes referee over reacted,train
23969,Sports,"blues re sign d backman , four others",train
93523,Sports,guerrero landslide honoree,train
69485,Sports,"nets get from jefferson , beat celtics",train
90578,Sports,"browns , steelers fight before game",train
58562,Sports,larkin won t be coming back to reds ap ,train
102937,Sports,sorenstam s putt sets up big pay day,train
87926,Sports,odds and ends,train
84860,Sports,kansas hoops takes preseason no . spot ap ,train
101737,Sports,uefa follow fifa and place bernabeu under racism investigation,train
85239,Sports,free agent crop continues to grow,train
13925,Sports,athens closes olympic summer games with pride and relief,train
49120,Sports,edmilson the latest barca casualty,train
82115,Sports,balco founder goes public in sports steroids scandal,train
108933,Sports,highbury return for petit ? ,train
18168,Sports,former nhl defenseman paul shmyr dies ap ,train
43601,Sports,"arsenal , facing rosenborg in europe , loses gilberto update ",train
67472,Sports,game tonight the hidden fall classic,train
102160,Sports,tech s passing attack meets osu s rushinng ap ,train
34778,Sports,bryant s request to seal evidence opposed ap ,train
2832,Sports,germany paddles to bronze,train
59621,Sports,schilling s ankle will require surgery ap ,train
51081,Sports,lewis readies defense,train
7743,Sports,ecclestone counters courts with cash offer . ,train
55617,Sports,bosnia holds rival serbia to draw,train
32929,Sports,defense carries dallas,train
17429,Sports,davey s spot secured,train
104971,Sports,fleming praise for aussies,train
72868,Sports,keegan in the dock,train
69145,Sports,update barrichello fires up the fans in brazil,train
29730,Sports,brazil s mello ousts second seeded fish in atp tour,train
101790,Sports,clippers beat nets ap ,train
64805,Sports,manchester united football club boss admits mistakes,train
78684,Sports,"redskins loss bad news for bush , touchdown kerry",train
73219,Sports,ruud pleads guilty to fa charge,train
7251,Sports,jarno takes in the olympics,train
49916,Sports,abc gets belmont in ,train
61997,Sports,nowak will return,train
112754,Sports,brazelton wins tony conigliaro award,train
5897,Sports,olympic soccer euphoric iraq reaches semifinals,train
56784,Sports,f button has his sights on victory,train
48539,Sports,united lose ground on chelsea,train
77941,Sports,red sox take camaraderie to new level,train
116283,Sports,"blue devils douse flames , ",train
28127,Sports,rookie stops sox,train
115080,Sports,"hernandez , indians agree to one year deal",train
62718,Sports,arsenal kicks five points clear as chelsea beaten,train
74289,Sports,"cal notebook mystery rushers , qb threaten bears",train
62953,Sports,astros lead cards after seven innings,train
8017,Sports,calgary s kiprusoff wins big in arbitration,train
39576,Sports,what you may have missed,train
85355,Sports,nba wrap mavericks come back to beat golden state,train
73154,Sports,formula one may get rival in ,train
55831,Sports,on the verge of cup spot,train
59634,Sports,phils give baylor managing interview,train
102795,Sports,kiwis in trouble after langers double,train
58381,Sports,there s no stopping boston ny buzz,train
42775,Sports,china paralympic powerhouse,train
69538,Sports,pressed into service,train
83695,Sports,tszyu takes great satisfaction from mitchell beat down,train
116369,Sports,no cries foul following loss,train
19983,Sports,"singh leads tiger at deutsch , eyes no . ",train
94434,Sports,pistons timberwolves ,train
65620,Sports,nba game summary la clippers at new orleans,train
